A: Trend scenario: 88-99ha,,,,,
Historic Environment,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect heritage assets.
Community,+,+,+,P,"Only includes settlements with populations of more than 1000 in the settlement hierarchy ensuring that development is focussed towards the larger settlements with stronger neighbourhood centres, helping to prevent rural isolation."
Housing,+,+,+,P,"Given that the approach only includes settlements with populations of more than 1000 in the settlement hierarchy, this approach is likely to direct housing towards more sustainable locations."
Economy,+,+,+,P,"Given that the approach only includes settlements with populations of more than 1000 in the settlement hierarchy, this approach is likely to direct employment development towards more sustainable locations."
,,,,,
Option 3: Towns and Villages of population 500+,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect biodiversity. 
Soil,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect soil quality.
Water,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect water quality.
Air,-,-,-,P,"Population of settlements and accessibility is not fully considered, potentially resulting in residents in more remote locations with fewer local facilities. This may require more travel by motor vehicle, adversely affecting air quality."
Climate Change,-,-,-,P,"Population of settlements and accessibility is not fully considered, potentially resulting in residents in more remote locations with fewer local facilities. This may require more travel by motor vehicle, resulting in greater greenhouse gas emissions."
Flooding & Coastal Change,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect exposure to flooding or coastal change. 
Landscape,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect valued landscapes.
Historic Environment,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect heritage assets.
Community,-,-,-,P,"Smaller settlements included in hierarchy and accessibility is not fully considered, potentially resulting in rural isolation."
Housing,-,-,-,P,This approach would direct housing to less sustainable locations.
Economy,-,-,-,P,This approach is considered likely to direct employment land towards less sustainable locations.
,,,,,
Option 4: Towns and refined villages of population 500+,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect biodiversity. 
Soil,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect soil quality.
Water,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect water quality.
Air,+,+,+,P,"Including only those settlements with reasonable travel time to towns in the settlement hierarchy will reduce travel by motor vehicles, helping to improve air quality."
Climate Change,+,+,+,P,"Including only those settlements with reasonable travel time to towns in the settlement hierarchy will reduce travel by motor vehicles, reducing greenhouse gas emissions and helping to mitigate against future climate change."
Flooding & Coastal Change,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect exposure to flooding or coastal change. 
Landscape,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect valued landscapes.
Historic Environment,0,0,0,P,This approach to the settlements included in tiers 3 and 4 of the settlement hierarchy is unlikely to appreciably affect heritage assets.
Community,+,+,+,P,"Ensures that only villages with greater facilities are considered in the hierarchy, meaning that development is focussed towards the settlements with stronger neighbourhood centres, helping to prevent rural isolation."
Housing,+,+,+,P,"Given that the approach only includes settlements with populations of more than 500 with the appropriate facilities and more accessible settlements in the settlement hierarchy, this approach is likely to direct housing towards more sustainable locations."
Economy,++,++,++,P,"This approach is likely to direct employment development towards more sustainable locations. Consideration is given to whether the village has an existing employment site, supporting the growth of businesses in more rural locations. "
,,,,,
Vision and Strategic Priorities,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,++,++,++,P,The vision states that large areas of significance for biodiversity will be protected and where possible enhanced and the strategic priorities include support for development which will bringing about net gains in biodiversity
Soil,-,-,-,P,"Whilst there is mention of minimising the impact of population growth and economic activity on Dorset’s environment and natural capital, there is no specific mention of protecting soil quality and conserve geological interest."
Water,-,-,-,P,"Whilst there is mention of minimising the impact of population growth and economic activity on Dorset’s environment, there is no specific mention of maintaining or improving water quality."
Air,+,+,+,P,"The strategic priorities support climate change mitigation, reducing emissions to air."
Climate Change,++,++,++,P,"The vision states that the plan will reduce our carbon footprint and the strategic priorities support climate change mitigation, for example by supporting the delivery of renewable energy, and adaptation, for example through addressing flood risk."
Flooding & Coastal Change,-,-,-,P,The strategic priorities address flood risk but does not mention coastal change.
Landscape,+,+,+,P,"The vision states that the character of the landscape will be respected, helping to protect valued landscapes."
Historic Environment,-,-,-,P,"Whilst there is mention of minimising the impact of population growth and economic activity on Dorset’s environment, the strategic priorities do not mention preserving and enhancing heritage assets."
Community,++,++,++,P,The strategic priorities include providing community infrastructure and green space giving opportunities for people to meet and participate in their community.
Housing,++,++,++,P,"The Strategic priorities include delivering around 30,000 new homes will be provided over the lifetime of this plan, of a range of types, sizes and tenures to meet Dorset’s diverse needs."
Economy,++,++,++,P,"The Strategic priorities include delivering economic growth by enabling sustainable economic development, homes for those who work in the area, and infrastructure provision."
,,,,,
DEV 1: The housing requirement and the need for employment land in Dorset,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,"This level of housing and employment development may result in adverse impacts upon designated wildlife sites and ecological corridors, adversely affecting biodiversity."
Soil,-,-,-,P,This level of housing and employment development may result in the loss of high grade agricultural land and cause harm to areas of geological conservation interest.
Water,-,-,-,P,"This level of housing and employment development may adversely affect the chemical and ecological status of water, and contribute to groundwater inundation."
Air,-,-,-,P,This level of housing and employment development may result in adverse impacts upon air quality.
Climate Change,-,-,-,P,Increased energy consumption and the emission of greenhouse gases from development.
Flooding & Coastal Change,-,-,-,P,This level of housing and employment development may increase the risk of people and property being exposed to flooding or coastal change.
Landscape,-,-,-,P,"This level of housing and employment development may cause harm to valued landscapes, the AONBs, Dorset and East Devon World Heritage Site and the Greenbelt."
Historic Environment,-,-,-,P,This level of housing and employment development may result in adverse impacts upon heritage assets and their setting.
Community,0,0,0,P,This level of housing and employment development is unlikely to appreciably affect wellbeing and healthy communities.
Housing,++,++,++,P,"Providing 30,481 dwellings (1,793 dwellings per year) would meet the area’s housing requirement figure and takes into account the unmet need from neighbouring areas, providing sufficient housing to meet the needs of present and future generations."
Economy,++,++,++,P,"The requirement for employment land in Dorset has been derived from the workspace strategy, and will ensure the provision of sufficient employment land and infrastructure to the support the growth, innovation and productivity of businesses."
,,,,,
DEV 2: Growth in the South Eastern Dorset functional area,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,"Development has the potential to be within the South-Eastern Dorset functional area may be within the Poole Harbour and River Avon hydrological catchments, and in those areas surrounding the Dorset Heathlands."
Soil,-,-,-,P,"Development within the South-Eastern Dorset functional area could result in the loss of high grade agricultural land to the west of Ferndown, west of Wimborne Minster, and around Blandford."
Water,-,-,-,P,"Development within the South-Eastern Dorset functional area has the potential to affect the groundwater protection zones which stretch approximately between Corfe Mullen and Blandford, and groundwater inundation issues at Blandford Forum."
Air,0,0,0,P,Development within the South-Eastern Dorset functional area is unlikely to affect air quality management areas.
Climate Change,-,-,-,P,"Some of the settlements in the South-Eastern Dorset functional area upon which development will be focused are subject to flooding, reducing resilience to future climate change. "
Flooding & Coastal Change,-,-,-,P,"Some of the settlements in the South-Eastern Dorset functional area upon which development will be focused are subject to flooding, particularly Wareham, Blandford and Wimborne Minster."
Landscape,-,-,-,P,"Development in the South Eastern Dorset functional area has the potential to adversely affect the Dorset AONB, Cranborne Chase AONB and greenbelt."
Historic Environment,-,-,-,P,Development in the South Eastern Dorset functional area has the potential to adversely affect heritage assets and their setting.
Community,+,+,+,P,"Focusing development on the edge of the main built-up area of the conurbation and larger villages will encourage social interaction, preventing rural isolation."
Housing,++,++,++,P,Development is likely to provide housing to meet the needs of south eastern Dorset.
Economy,++,++,++,P,"The policy identifies areas for employment growth within the South-Eastern Dorset functional area, supporting the growth, innovation and productivity of businesses and contributing to economic growth in Dorset."
,,,,,
DEV 3: Growth in the Central Dorset functional area,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,"Development has the potential to be within the South-Eastern Dorset functional area may be within the Poole Harbour hydrological catchment, near Chesil and the Fleet, and in those areas surrounding the Dorset Heathlands."
Soil,-,-,-,P,"Development within the Central Dorset functional area could result in the loss of high grade agricultural land surrounding Dorchester and Crossways, and adverse effects upon the areas of geological conservation interest at Portland. "
Water,-,-,-,P,"Development within the central Dorset functional area has the potential to affect the groundwater protection zones which occupy large parts of the functional area, and groundwater inundation issues at surrounding Dorchester and the Piddle Valley."
Air,-,-,-,P,Development within the central Dorset functional area may affect the air quality management area in Dorchester.
Climate Change,-,-,-,P,"Some of the settlements in the central Dorset functional area upon which development will be focused are subject to flooding, reducing resilience to future climate change. "
Flooding & Coastal Change,-,-,-,P,"Some of the settlements in the central Dorset functional area upon which development will be focused are subject to flooding, including Weymouth and Dorchester"
Landscape,-,-,-,P,Development in the central Dorset functional area has the potential to adversely affect the Dorset AONB and Dorset and East Devon World Heritage Site.
Historic Environment,-,-,-,P,Development in the central Dorset functional area has the potential to adversely affect heritage assets and their setting.
Community,+,+,+,P,"Focusing the majority of development at the main settlements of Weymouth & Dorchester will encourage social interaction, preventing rural isolation."
Housing,++,++,++,P,Development is likely to provide housing to meet the needs of central Dorset for present and future generations.
Economy,++,++,++,P,"The policy identifies areas for employment growth within the Central Dorset functional area through the intensification and infilling of existing employment sites and employment development including Poundbury, north of Dorchester and Crossways."
,,,,,
DEV 4: Growth in the Northern Dorset Functional area,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,"Development within the northern Dorset functional area may be within the Somerset Levels hydrological catchment and in close proximity to the chalk grassland areas which are European wildlife sites, such as the Fontmell Down SAC."
Soil,-,-,-,P,"Development within the northern Dorset functional area could result in the loss of high grade agricultural land, particularly surrounding Sherborne and Shaftesbury."
Water,-,-,-,P,"Development within the northern Dorset functional area has the potential to affect the groundwater protection zone to the southwest of Sherborne, and foul sewer inundation issues at Yetminster."
Air,0,0,0,P,Development within the northern Dorset functional area is unlikely to affect air quality management areas.
Climate Change,-,-,-,P,"Some of the settlements in the northern Dorset functional area upon which development will be focused are subject to flooding, reducing resilience to future climate change. "
Flooding & Coastal Change,-,-,-,P,"Some of the settlements in the central Dorset functional area upon which development will be focused are subject to flooding, including Gillingham and Sturminster Newton."
Landscape,-,-,-,P,Development in the northern Dorset functional area has the potential to adversely affect the Cranborne Chase AONB.
Historic Environment,-,-,-,P,Development in the northern Dorset functional area has the potential to adversely affect heritage assets and their setting.
Community,+,+,+,P,"Focusing the majority of development at the main settlements of Sherborne and Gillingham will encourage social interaction, preventing rural isolation."
Housing,++,++,++,P,Development is likely to provide housing to meet the needs of northern Dorset for present and future generations.
Economy,++,++,++,P,The policy identifies areas for employment growth within the northern Dorset functional area through the intensification and infilling of existing employment sites and employment development including Gillingham.
,,,,,
DEV 5: Growth in the Western Dorset Functional area,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,Development within the western Dorset functional area has the potential to be within the River Axe hydrological catchment.
Soil,-,-,-,P,"Development within the western Dorset functional area could result in the loss of high grade agricultural land, particularly surrounding Bridport."
Water,-,-,-,P,"Development within the western Dorset functional area has the potential to affect the groundwater protection zones, for example those to the west of Beaminster."
Air,-,-,-,P,Development within the central Dorset functional area may affect the air quality management area in Chideock.
Climate Change,-,-,-,P,"Some of the settlements in the central Dorset functional area upon which development will be focused are subject to flooding and coastal change, reducing resilience to future climate change."
Flooding & Coastal Change,-,-,-,P,"Large areas of the coast within the western Dorset are prone to coastal change and some of the settlements are subject to flooding, such as Bridport."
Landscape,-,-,-,P,Development in the central Dorset functional area has the potential to adversely affect the Dorset AONB and Dorset and East Devon World Heritage Site.
Historic Environment,-,-,-,P,Development in the central Dorset functional area has the potential to adversely affect heritage assets and their setting.
Community,+,+,+,P,"Focusing the majority of development at the main settlements of Bridport and Beaminster will encourage social interaction, preventing rural isolation."
Housing,++,++,++,P,Development is likely to provide housing to meet the needs of western Dorset for present and future generations.
Economy,++,++,++,P,The policy identifies areas for employment growth within the western Dorset functional area through the intensification and infilling of existing employment sites and employment development including Vearse Farm.
,,,,,
DEV 6: Development at villages with development boundaries in rural Dorset,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,+,+,+,P,Focusing development outside the larger settlements to within the development boundaries of tier 3 settlements will prevent development within wildlife designations and the ecological corridors between developed areas.
Soil,+,+,+,P,"Focusing development outside the larger settlements to within the development boundaries of tier 3 settlements will help to protect high grade agricultural land, which generally fall outside development boundaries."
Water,0,0,0,P,Focusing development outside the larger settlements to within the development boundaries of tier 3 settlements is considered unlikely to significantly affect water quality.
Air,+,+,+,P,"Restricting development in those small villages which do not have development boundaries and focusing development towards the existing larger villages may reduce the use of private vehicles, reducing the emission of greenhouse gases."
Climate Change,+,+,+,P,"The policy will restrict development in those small villages which do not have development boundaries, focusing development towards the existing larger villages. This may reduce the use of private vehicles, reducing the emission of greenhouse gases."
Flooding & Coastal Change,0,0,0,P,Focusing development outside the larger settlements to within the development boundaries of tier 3 settlements is unlikely to significantly affect exposure to flooding and coastal change.
Landscape,+,+,+,P,"The policy will restrict development in those small villages which do not have development boundaries, therefore focusing development towards the existing larger villages rather than more remote locations, helping to preserve landscape character."
Historic Environment,0,0,0,P,Focusing development outside the larger settlements to within the development boundaries of tier 3 settlements is unlikely to significantly affect heritage assets and their setting.
Community,+,+,+,P,"The policy will restrict development in those small villages which do not have development boundaries, focusing development towards the existing larger villages with stronger neighbourhood centres and helping to reduce rural isolation."
Housing,+,+,+,P,Focusing development outside the larger settlements to within the development boundaries of tier 3 settlements will deliver housing in more sustainable locations for present and future generations.
Economy,0,0,0,P,"Focusing development outside the larger settlements to within the development boundaries of tier 3 settlements is unlikely to affect the supply of employment land to support the growth, innovation and productivity of rural businesses."
,,,,,
DEV 7: Development outside local plan and neighbourhood plan development boundaries in rural Dorset,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,+,+,+,P,"Policy requires particular regard to environmental constraints and to the need for the protection of the countryside, helping to safeguard habitats and species from the effects of development in more rural areas."
Soil,+,+,+,P,Policy requires particular regard to environmental constraints and to the need for the protection of the countryside helping to conserve high grade agricultural land and areas of geological interest.
Water,0,0,0,P,Strictly controlling development outside local plan and neighbourhood plan development boundaries in rural Dorset is unlikely to significantly affect water quality.
Air,0,0,0,P,Strictly controlling development outside local plan and neighbourhood plan development boundaries in rural Dorset is unlikely to significantly affect air quality.
Climate Change,++,++,++,P,"Policy allows renewable energy development in rural areas, helping to mitigate against future climate change. Allowing flood and coastal defence works in rural areas will enable communities to be more resilient to the effects of climate change."
Flooding & Coastal Change,++,++,++,P,"Policy enables flood defence, land stability and coastal protection schemes in rural areas, helping to protect people and property from the effects of flooding and coastal change."
Landscape,++,++,++,P,"Policy enables landscape requirements for mitigation for local plan allocations, and requires particular regard to environmental constraints and the need for the protection of the countryside helping to protect valued landscapes."
Historic Environment,+,+,+,P,"Policy requires particular regard to environmental constraints and to the need for the protection of the countryside, helping to protect heritage assets and their setting."
Community,+,+,+,P,"Policy enables green infrastructure requirements for local plan allocations to be delivered and recreational development, enabling accessibility to natural spaces and promoting wellbeing and healthy communities."
Housing,+,+,+,P,"The policy will enable the development of those types of housing which are necessary in rural areas, such as rural workers’ housing, in addition to rural exception affordable housing, and sites for gypsies, travellers and travelling show people."
Economy,+,+,+,P,"The policy will enable development for employment purposes, such as farm diversification and equestrian development, and new employment, tourism, recreational or leisure-related development, supporting the growth of rural businesses."
,,,,,
DEV 8: Reuse of buildings outside settlement boundaries,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,"Since the policy relates to the reuse of existing buildings, the development is unlikely to result in the significant loss of habitat. However, it may lead to an increase in population and therefore recreational pressures, adversely effecting biodiversity."
Soil,0,0,0,P,"Since the policy relates to the reuse of existing buildings, the development is unlikely to result in the significant loss of productive agricultural land, or harm to areas of geological conservation interest."
Water,0,0,0,P,"Since the policy relates to the reuse of existing buildings, the development is unlikely to appreciably affect the ecological and chemical status of freshwater, transitional waters and coastal waters."
Air,0,0,0,P,"Since the policy relates to the reuse of existing buildings, the development is unlikely to appreciably affect air quality, particularly as the policy relates to buildings outside development boundaries and AQMA are within urbanised areas."
Climate Change,0,0,0,P,"The reuse of buildings is considered unlikely to result in a significant increase in energy usage, particularly given that the building must be of substantial construction and "
Flooding & Coastal Change,0,0,0,P,The reuse of buildings is considered unlikely to significantly affect exposure to flooding and coastal change.
Landscape,+,+,+,P,"The policy ensures that the scheme makes a positive contribution to local character, helping to preserve the landscape setting."
Historic Environment,+,+,+,P,The reuse scheme should make a positive contribution to local character and include the retention of any features of historic or architectural importance.
Community,+,+,+,P,"The policy prevents the reuse of buildings for residential purposes in remote locations except in exceptional circumstances, helping to reduce rural isolation "
Housing,+,+,+,P,"The policy permits the re-use of buildings outside the defined development boundary for housing, affordable housing, essential rural workers housing and built tourist accommodation, helping to supply the housing through the re-use of buildings."
Economy,+,+,+,P,"Reuse of buildings for employment use and tourism, providing land for business growth and innovation."
,,,,,
DEV 9: Neighbourhood Plans,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,++,++,++,P,"Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan and strategic policies, which support a net gain in biodiversity"
Soil,+,+,+,P,"Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan and strategic policies, protecting soil quality (ENV 12) and conserving geological interest (ENV 6)."
Water,+,+,+,P,"Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan and strategic policies, including ENV 12 which aims to maintain and improve water quality."
Air,+,+,+,P,"Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan and strategic policies, which includes supporting climate change mitigation and reducing emissions to air."
Climate Change,++,++,++,P,"Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan and strategic policies, which aims to support climate change mitigation and adaptation."
Flooding & Coastal Change,++,++,++,P,Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan and strategic policies which address flood risk but not coastal change.
Landscape,++,++,++,P,Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan and strategic policies. The vision states that the character of the landscape will be respected and policy ENV 4 protects the landscape.
Historic Environment,+,+,+,P,"Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan and strategic policies, including policy ENV5 which aims to preserve and enhance heritage assets."
Community,+,+,+,P,The strategic priorities and strategic policies in Chapter 6: Community Infrastructure include providing community infrastructure and green space giving opportunities for people to meet and participate in their community.
Housing,+,+,+,P,"The policy states that where provision is made for housing, the housing requirement figure for a neighbourhood plan area set in the local plan should be met and where possible exceeded, providing housing for present and future generations."
Economy,+,+,+,P,"Policy requires neighbourhood plans to contribute positively to the vision and strategic priorities of the plan, which include the policies in Chapter 6: Economy and delivering economic growth."
,,,,,
To restrict development in CCMA according to the recommendations in the Coastal Risk Planning Guidance (CRPG),,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,-,-,-,P,"The majority of coastal locations are designated as areas of importance to wildlife and habitats, and therefore permitting some development in accordance with the CRPG guidance in these areas may result in impacts upon biodiversity."
Soil,-,-,-,P,"Some coastal areas are designated as areas of geological importance, and therefore allowing development in these areas in accordance with the CRPG guidance may result in adverse impacts upon sites of geological conservation interest."
Water,0,0,0,P,"Restricting development in CCMAs is unlikely to appreciably affect the ecological and chemical status of freshwater, transitional waters and coastal waters."
Air,0,0,0,P,Restricting development in CCMAs is unlikely to appreciably affect air quality or Air Quality Management Areas.
Climate Change,+,+,+,P,Restricting development in line with the CRPG guidance will ensure that new development is more resilient to future climatic conditions as the effects of climate change are more fully realised and the frequency/severity of rainfall events increase.
Flooding & Coastal Change,+,+,+,P,"Whilst some limited development will be permitted, this approach is likely to ensure that coastal change is managed to the extent that local communities are protected."
Landscape,-,-,-,P,Large sections of the Dorset and East Devon Coast World Heritage Site are within and the CCMA areas and therefore permitting some development within these areas may affect the Dorset and East Devon Coast World Heritage Site.
Historic Environment,0,0,0,P,The approach of allowing some development in CCMA is unlikely to result in appreciably influence historic features.
Community,+,+,+,P,Preventing development in those areas at most risk of coastal change will result in a safer environment.
Housing,+,+,+,P,"Whilst this policy restricts the amount of land available for housing, steering housing development away from areas at risk of coastal change is likely to supply housing which is fit for present and future generations."
Economy,+,+,0,P,"Development for employment purposes will be permitted in some circumstances, supporting businesses which require a coastal setting in the short and medium term, as the development will be time limited."
,,,,,
To prevent all development in CCMAs,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,+,+,+,P,"The majority of coastal locations are designated as areas of importance to wildlife and habitats, and therefore preventing all development in CCMAs in these areas is likely to protect biodiversity."
Soil,+,+,+,P,"Some coastal areas are designated as areas of geological importance, and therefore preventing all development in CCMAs in these areas is likely to sites of geological conservation interest."
Water,0,0,0,P,Preventing all development in CCMAs is unlikely to appreciably affect the ecological and chemical status of water.
Air,0,0,0,P,Preventing all development in CCMAs is unlikely to appreciably affect air quality or Air Quality Management Areas.
Climate Change,++,++,++,P,Preventing all development in CCMAs will ensure that new development is resilient to future climatic conditions as the effects of climate change are more fully realised and the frequency/severity of rainfall events increase.
Flooding & Coastal Change,++,++,++,P,Preventing all development in CCMAs will ensure that coastal change is managed to the extent that local communities are protected.
Landscape,+,+,+,P,Large sections of the Dorset and East Devon Coast World Heritage Site are within and the CCMA areas and therefore Preventing all development in CCMAs is likely to protect the Dorset and East Devon Coast World Heritage Site.
Historic Environment,0,0,0,P,Preventing all development in CCMAs is unlikely to result in appreciably influence historic features.
Community,+,+,+,P,Preventing all development in CCMAs at most risk of coastal change will result in a safer environment.
Housing,+,+,+,P,"Whilst this policy restricts the amount of land available for housing, steering housing development away from areas at risk of coastal change is likely to supply housing which is fit for present and future generations."
Economy,-,-,-,P,This policy is likely to prevent development for employment purposes in a coastal setting.
,,,,,
ENV 1: Green Infrastructure: Strategic Approach,,,,,
Sustainability objective,Impact,Comment,,,
,ST,MT,LT,P/T,
Biodiversity,++,++,++,P,"The policy protects designated wildlife sites, habitats of wildlife importance and wildlife corridors, providing widespread net gains for biodiversity."
Soil,0,0,0,P,"Protection and enhancement of areas of geological conservation interest. However, high grade agricultural land does not form part of the green infrastructure network. "
